,Shape,Orientation,Window to Wall Ratio,Height,Surface Area,Material,thickness,set point,Heating System,Cooling System,AC Type,Heater type,PVs,Ceiling fans,Others
1631,Rectangular,East,0.54,15,220.47,Steel,0.35,21,1,1,Split AC,Heat Pump,0,2,"Microwave, Washer"
1632,L-Shape,South,0.46,12,50.71,Steel,0.2,19,0,0,Package AC,Gas Heating,0,2,"TV, Fridge"
1633,L-Shape,West,0.48,15,203.73,Concrete,0.31,19,0,0,Split AC,Heat Pump,1,1,"Oven, Dishwasher"
1634,Rectangular,North,0.6,10,296.25,Wood,0.36,21,1,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
1635,Rectangular,South,0.4,10,50.71,Concrete,0.26,20,1,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
1636,L-Shape,East,0.46,10,279.16,Steel,0.26,20,1,0,Split AC,Gas Heating,0,2,"Microwave, Washer"
1637,L-Shape,East,0.33,18,191.93,Concrete,0.23,20,1,1,Package AC,Gas Heating,0,2,"Microwave, Washer"
1638,Rectangular,South,0.58,12,82.72,Concrete,0.37,20,1,1,Package AC,Gas Heating,1,1,"Microwave, Washer"
1639,Rectangular,South,0.56,15,152.32,Concrete,0.33,21,0,1,Split AC,Gas Heating,1,0,"Oven, Dishwasher"
1640,Rectangular,South,0.32,15,64.49,Steel,0.25,19,1,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
1641,L-Shape,East,0.44,10,242.02,Concrete,0.2,21,0,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
1642,U-Shape,South,0.51,12,256.95,Wood,0.3,22,1,0,Split AC,Gas Heating,1,0,"Oven, Dishwasher"
1643,Rectangular,South,0.42,12,76.71,Concrete,0.26,19,1,0,Package AC,Gas Heating,1,0,"TV, Fridge"
1644,L-Shape,South,0.51,10,50.71,Concrete,0.35,20,1,1,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
1645,Rectangular,West,0.41,15,295.3,Steel,0.29,22,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
1646,Rectangular,West,0.38,15,219.41,Wood,0.25,22,1,1,Split AC,Heat Pump,1,1,"Microwave, Washer"
1647,U-Shape,South,0.41,10,66.58,Steel,0.24,19,0,0,VRF,Gas Heating,1,1,"Microwave, Washer"
1648,U-Shape,East,0.32,18,50.71,Steel,0.26,22,0,0,Split AC,Gas Heating,1,2,"Microwave, Washer"
1649,L-Shape,West,0.3,18,90.58,Wood,0.35,19,0,0,Package AC,Gas Heating,1,0,"TV, Fridge"
1650,Rectangular,South,0.45,15,52.87,Wood,0.25,21,1,0,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
1651,L-Shape,North,0.45,15,119.0,Steel,0.26,20,0,0,Split AC,Gas Heating,1,1,"Oven, Dishwasher"
1652,Rectangular,East,0.33,12,322.83,Wood,0.25,21,0,0,Split AC,Heat Pump,0,1,"TV, Fridge"
1653,Rectangular,East,0.49,10,209.39,Concrete,0.25,19,0,1,Package AC,Heat Pump,1,1,"TV, Fridge"
1654,Rectangular,South,0.59,12,299.63,Concrete,0.29,22,0,1,Package AC,Gas Heating,1,0,"Oven, Dishwasher"
1655,Rectangular,South,0.55,15,94.63,Wood,0.34,22,1,0,Split AC,Gas Heating,0,2,"Microwave, Washer"
1656,Rectangular,South,0.53,18,103.21,Concrete,0.36,20,0,1,VRF,Gas Heating,1,0,"TV, Fridge"
1657,U-Shape,South,0.57,10,257.38,Wood,0.35,19,1,0,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
1658,U-Shape,North,0.55,15,234.58,Wood,0.35,19,0,1,Package AC,Heat Pump,0,0,"Microwave, Washer"
1659,Rectangular,East,0.42,12,320.34,Concrete,0.31,20,1,1,Split AC,Heat Pump,1,1,"Oven, Dishwasher"
1660,Rectangular,East,0.3,15,95.48,Concrete,0.4,21,1,1,Package AC,Heat Pump,0,0,"Microwave, Washer"
1661,U-Shape,East,0.4,15,177.15,Steel,0.25,21,1,0,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
1662,L-Shape,West,0.52,18,50.71,Steel,0.35,21,1,0,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
1663,U-Shape,South,0.51,15,334.04,Wood,0.22,21,1,1,VRF,Gas Heating,1,2,"Oven, Dishwasher"
1664,U-Shape,South,0.37,12,152.08,Concrete,0.28,19,0,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
1665,Rectangular,North,0.5,15,215.08,Steel,0.32,19,0,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
1666,L-Shape,East,0.53,12,238.46,Wood,0.26,22,0,0,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
1667,U-Shape,East,0.46,12,155.17,Concrete,0.23,21,0,0,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
1668,L-Shape,South,0.53,10,307.89,Concrete,0.34,22,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
1669,L-Shape,West,0.47,18,115.48,Steel,0.33,22,0,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
1670,L-Shape,North,0.49,18,281.3,Steel,0.25,22,0,1,Package AC,Heat Pump,0,1,"Microwave, Washer"
1671,U-Shape,East,0.45,15,135.03,Wood,0.35,20,0,1,Split AC,Gas Heating,0,2,"TV, Fridge"
1672,U-Shape,East,0.46,10,256.92,Wood,0.36,22,1,1,Package AC,Heat Pump,1,1,"Microwave, Washer"
1673,L-Shape,South,0.52,15,116.11,Steel,0.29,22,1,1,Package AC,Gas Heating,0,2,"Oven, Dishwasher"
1674,L-Shape,East,0.37,12,57.36,Wood,0.28,22,1,0,Split AC,Gas Heating,1,1,"Microwave, Washer"
1675,U-Shape,South,0.46,15,286.92,Wood,0.25,22,0,0,VRF,Gas Heating,1,2,"Microwave, Washer"
1676,U-Shape,East,0.46,10,276.65,Wood,0.27,19,1,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
1677,Rectangular,South,0.5,10,124.58,Concrete,0.37,20,1,1,VRF,Heat Pump,1,0,"Microwave, Washer"
1678,Rectangular,South,0.58,12,152.44,Concrete,0.39,21,1,0,Split AC,Heat Pump,0,1,"TV, Fridge"
1679,L-Shape,East,0.52,10,179.07,Steel,0.22,19,1,1,VRF,Heat Pump,0,1,"TV, Fridge"
1680,U-Shape,South,0.45,10,277.4,Steel,0.38,22,0,1,Package AC,Heat Pump,1,1,"Microwave, Washer"
1681,U-Shape,South,0.54,12,115.67,Concrete,0.33,20,0,1,Package AC,Heat Pump,0,0,"TV, Fridge"
1682,Rectangular,South,0.47,15,170.33,Concrete,0.28,19,0,1,Split AC,Heat Pump,0,2,"Microwave, Washer"
1683,U-Shape,West,0.33,10,213.26,Wood,0.24,22,1,1,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
1684,U-Shape,South,0.55,15,198.22,Wood,0.39,19,1,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
1685,Rectangular,South,0.44,15,334.51,Concrete,0.3,19,1,1,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
1686,U-Shape,East,0.56,12,71.98,Steel,0.22,19,1,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
1687,Rectangular,South,0.41,10,168.63,Steel,0.25,22,1,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
1688,Rectangular,South,0.53,18,183.87,Wood,0.24,21,1,1,Split AC,Heat Pump,0,2,"Microwave, Washer"
1689,U-Shape,East,0.57,15,309.62,Steel,0.21,21,0,1,VRF,Heat Pump,1,2,"Microwave, Washer"
1690,L-Shape,North,0.48,15,82.14,Wood,0.3,22,0,1,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
1691,Rectangular,East,0.54,10,123.38,Steel,0.31,22,1,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
1692,Rectangular,North,0.6,10,191.87,Steel,0.2,21,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
1693,L-Shape,East,0.52,15,345.81,Steel,0.33,19,0,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
1694,L-Shape,East,0.34,12,65.27,Concrete,0.37,22,1,0,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
1695,Rectangular,West,0.57,15,295.88,Concrete,0.35,20,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
1696,L-Shape,East,0.6,12,123.57,Concrete,0.29,22,0,1,Split AC,Gas Heating,1,0,"TV, Fridge"
1697,U-Shape,South,0.46,15,158.28,Concrete,0.37,19,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
1698,U-Shape,West,0.53,10,76.0,Concrete,0.33,21,0,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
1699,L-Shape,South,0.5,10,192.64,Steel,0.36,19,1,1,Split AC,Heat Pump,1,0,"TV, Fridge"
1700,Rectangular,East,0.57,10,121.11,Wood,0.3,21,1,1,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
1701,Rectangular,South,0.45,10,266.06,Wood,0.24,20,1,1,Package AC,Heat Pump,1,0,"Microwave, Washer"
1702,U-Shape,North,0.51,10,50.71,Wood,0.35,22,0,1,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
1703,L-Shape,East,0.46,12,272.13,Steel,0.28,20,1,0,Package AC,Heat Pump,1,0,"TV, Fridge"
1704,Rectangular,South,0.47,15,157.53,Wood,0.28,22,1,0,Split AC,Heat Pump,0,0,"Microwave, Washer"
1705,Rectangular,East,0.55,10,192.19,Steel,0.36,20,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
1706,Rectangular,East,0.34,15,224.74,Wood,0.36,22,1,1,VRF,Gas Heating,1,0,"Microwave, Washer"
1707,Rectangular,East,0.39,12,184.03,Concrete,0.32,19,1,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
1708,L-Shape,South,0.51,10,306.51,Wood,0.37,22,0,1,Package AC,Gas Heating,0,2,"Oven, Dishwasher"
1709,U-Shape,West,0.44,10,117.67,Steel,0.24,20,0,1,Package AC,Heat Pump,1,0,"TV, Fridge"
1710,Rectangular,North,0.42,15,259.62,Steel,0.21,21,0,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
1711,U-Shape,East,0.59,15,254.97,Wood,0.38,22,1,1,Split AC,Heat Pump,1,2,"TV, Fridge"
1712,L-Shape,South,0.56,10,145.47,Steel,0.27,20,1,1,Package AC,Gas Heating,0,1,"Microwave, Washer"
1713,L-Shape,East,0.54,15,101.35,Steel,0.37,19,0,0,Package AC,Heat Pump,1,1,"Oven, Dishwasher"
1714,U-Shape,West,0.48,18,172.87,Steel,0.37,21,0,0,Split AC,Heat Pump,1,1,"Microwave, Washer"
1715,L-Shape,South,0.43,18,285.03,Wood,0.2,20,1,0,VRF,Gas Heating,1,1,"Oven, Dishwasher"
1716,Rectangular,East,0.56,10,81.68,Steel,0.37,20,1,1,Package AC,Heat Pump,1,1,"Oven, Dishwasher"
1717,Rectangular,South,0.55,15,220.62,Steel,0.22,21,0,0,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
1718,L-Shape,East,0.56,10,181.18,Wood,0.31,22,1,0,Package AC,Gas Heating,0,0,"Oven, Dishwasher"
1719,U-Shape,South,0.53,18,195.46,Concrete,0.24,19,1,0,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
1720,Rectangular,East,0.55,12,257.42,Wood,0.33,22,1,1,Package AC,Heat Pump,1,1,"Oven, Dishwasher"
1721,Rectangular,North,0.42,12,180.21,Concrete,0.32,22,0,0,VRF,Gas Heating,0,2,"Microwave, Washer"
1722,Rectangular,South,0.38,15,302.17,Concrete,0.27,22,1,1,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
1723,Rectangular,South,0.52,15,348.6,Concrete,0.34,22,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
1724,U-Shape,South,0.49,15,131.49,Concrete,0.36,19,1,0,Package AC,Heat Pump,0,2,"Microwave, Washer"
1725,U-Shape,East,0.38,15,168.15,Concrete,0.21,19,0,1,Package AC,Gas Heating,0,1,"TV, Fridge"
1726,L-Shape,East,0.6,10,158.71,Concrete,0.31,19,1,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
1727,Rectangular,North,0.5,12,66.3,Steel,0.35,19,1,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
1728,Rectangular,East,0.54,10,162.12,Steel,0.32,19,1,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
1729,U-Shape,East,0.46,18,166.88,Concrete,0.38,22,0,1,VRF,Heat Pump,1,2,"TV, Fridge"
1730,L-Shape,South,0.32,10,56.22,Steel,0.23,20,1,0,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
1731,U-Shape,North,0.5,15,95.18,Concrete,0.38,19,1,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
1732,U-Shape,East,0.3,15,267.61,Steel,0.26,20,1,0,VRF,Gas Heating,1,2,"Oven, Dishwasher"
1733,U-Shape,South,0.56,12,225.23,Steel,0.26,20,1,1,Split AC,Heat Pump,1,1,"Oven, Dishwasher"
1734,Rectangular,South,0.47,12,81.64,Wood,0.24,22,0,1,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
1735,Rectangular,South,0.52,10,213.19,Concrete,0.28,22,1,1,Package AC,Heat Pump,1,0,"Microwave, Washer"
1736,Rectangular,South,0.48,15,178.54,Wood,0.26,22,1,0,VRF,Gas Heating,0,1,"Microwave, Washer"
1737,U-Shape,East,0.42,10,348.6,Wood,0.3,21,1,0,Package AC,Heat Pump,0,0,"Microwave, Washer"
1738,L-Shape,South,0.54,18,254.75,Steel,0.37,22,0,1,VRF,Heat Pump,0,2,"Oven, Dishwasher"
1739,Rectangular,East,0.43,15,261.11,Wood,0.26,20,1,1,Package AC,Gas Heating,1,2,"Microwave, Washer"
1740,U-Shape,North,0.35,15,208.95,Steel,0.35,20,1,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
1741,L-Shape,East,0.51,15,50.71,Steel,0.32,20,0,1,Split AC,Gas Heating,1,0,"Microwave, Washer"
1742,Rectangular,East,0.48,15,172.99,Steel,0.29,22,1,1,Split AC,Gas Heating,0,0,"Oven, Dishwasher"
1743,U-Shape,East,0.55,18,85.34,Steel,0.3,19,1,0,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
1744,L-Shape,East,0.49,15,256.83,Steel,0.36,22,1,0,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
1745,L-Shape,North,0.44,15,146.29,Concrete,0.32,22,0,1,VRF,Gas Heating,0,1,"Microwave, Washer"
1746,Rectangular,North,0.56,10,79.08,Wood,0.34,19,0,1,Package AC,Heat Pump,0,0,"Microwave, Washer"
1747,Rectangular,East,0.54,10,267.18,Steel,0.34,22,1,1,Split AC,Gas Heating,0,2,"Oven, Dishwasher"
1748,Rectangular,West,0.56,12,108.59,Concrete,0.36,21,1,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
1749,Rectangular,East,0.4,15,52.03,Steel,0.37,19,1,1,VRF,Gas Heating,0,0,"Microwave, Washer"
1750,U-Shape,East,0.39,12,50.71,Steel,0.4,22,1,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
1751,Rectangular,South,0.5,10,211.0,Steel,0.39,22,1,1,Split AC,Heat Pump,1,1,"Microwave, Washer"
1752,U-Shape,East,0.47,18,90.48,Steel,0.27,19,0,0,VRF,Heat Pump,0,1,"Oven, Dishwasher"
1753,Rectangular,East,0.51,10,168.04,Wood,0.23,21,0,1,Package AC,Gas Heating,0,1,"Microwave, Washer"
1754,L-Shape,South,0.43,12,182.8,Concrete,0.38,19,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
1755,U-Shape,North,0.35,15,169.96,Wood,0.38,21,0,0,Package AC,Gas Heating,0,1,"Microwave, Washer"
1756,Rectangular,North,0.52,15,236.68,Steel,0.25,21,1,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
1757,U-Shape,West,0.47,10,238.22,Concrete,0.21,22,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
1758,Rectangular,East,0.39,12,117.28,Steel,0.32,22,1,0,Package AC,Heat Pump,0,2,"Microwave, Washer"
1759,Rectangular,North,0.46,12,196.77,Steel,0.27,20,1,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
1760,U-Shape,South,0.32,15,161.73,Steel,0.25,19,0,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
1761,U-Shape,North,0.43,15,200.11,Steel,0.2,20,1,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
1762,L-Shape,North,0.59,10,348.6,Steel,0.22,22,0,0,VRF,Heat Pump,1,1,"TV, Fridge"
1763,Rectangular,South,0.54,10,189.92,Concrete,0.24,20,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
1764,Rectangular,South,0.52,18,177.36,Wood,0.37,22,0,1,Package AC,Gas Heating,1,1,"Microwave, Washer"
1765,L-Shape,North,0.44,15,335.02,Wood,0.26,22,0,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
1766,Rectangular,South,0.57,18,267.27,Steel,0.24,22,1,0,Split AC,Gas Heating,1,2,"TV, Fridge"
1767,L-Shape,North,0.51,18,50.71,Wood,0.35,20,1,1,Split AC,Gas Heating,0,0,"Oven, Dishwasher"
1768,U-Shape,South,0.33,12,257.61,Concrete,0.25,20,0,0,VRF,Heat Pump,1,1,"Microwave, Washer"
1769,L-Shape,North,0.58,12,207.95,Wood,0.3,19,0,0,Split AC,Heat Pump,0,2,"Microwave, Washer"
1770,Rectangular,East,0.44,10,244.17,Concrete,0.23,19,1,0,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
1771,Rectangular,East,0.5,18,188.06,Wood,0.27,20,0,0,Package AC,Gas Heating,0,2,"Microwave, Washer"
1772,Rectangular,East,0.57,10,109.0,Steel,0.27,22,1,1,Split AC,Gas Heating,1,0,"Oven, Dishwasher"
1773,U-Shape,East,0.54,15,268.94,Concrete,0.26,19,0,0,Package AC,Heat Pump,1,2,"TV, Fridge"
1774,Rectangular,East,0.59,18,287.56,Steel,0.33,20,1,0,Split AC,Heat Pump,1,2,"Microwave, Washer"
1775,U-Shape,North,0.49,12,50.71,Wood,0.28,22,0,0,Split AC,Heat Pump,0,1,"Microwave, Washer"
1776,U-Shape,East,0.34,15,340.64,Steel,0.33,20,1,0,Split AC,Heat Pump,0,0,"TV, Fridge"
1777,Rectangular,West,0.33,18,286.4,Concrete,0.36,22,1,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
1778,L-Shape,East,0.32,10,122.39,Steel,0.33,20,0,0,Package AC,Gas Heating,1,1,"TV, Fridge"
1779,U-Shape,West,0.48,18,240.93,Steel,0.31,21,0,1,VRF,Heat Pump,1,1,"Microwave, Washer"
1780,L-Shape,East,0.32,15,219.76,Steel,0.31,22,0,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
1781,Rectangular,East,0.43,12,226.13,Concrete,0.2,20,1,1,Package AC,Heat Pump,1,1,"TV, Fridge"
1782,Rectangular,South,0.3,18,92.8,Wood,0.29,19,0,0,Split AC,Heat Pump,1,1,"Microwave, Washer"
1783,U-Shape,North,0.49,15,151.34,Steel,0.23,19,0,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
1784,L-Shape,North,0.49,12,95.84,Wood,0.33,21,1,1,Package AC,Gas Heating,1,1,"Microwave, Washer"
1785,L-Shape,East,0.52,10,50.71,Concrete,0.24,22,0,0,Split AC,Heat Pump,1,1,"Microwave, Washer"
1786,Rectangular,North,0.51,12,194.38,Concrete,0.33,21,1,0,Split AC,Heat Pump,1,1,"TV, Fridge"
1787,Rectangular,North,0.57,15,290.16,Steel,0.2,19,0,0,VRF,Heat Pump,0,2,"Microwave, Washer"
1788,L-Shape,South,0.37,18,193.7,Concrete,0.23,19,0,0,VRF,Heat Pump,0,1,"Microwave, Washer"
1789,L-Shape,East,0.46,12,154.06,Steel,0.29,20,1,1,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
1790,L-Shape,South,0.59,12,247.6,Steel,0.39,22,1,0,VRF,Heat Pump,0,2,"Oven, Dishwasher"
1791,U-Shape,South,0.53,15,317.62,Concrete,0.4,19,1,1,Split AC,Heat Pump,1,2,"TV, Fridge"
1792,Rectangular,East,0.58,12,235.23,Concrete,0.33,19,1,1,VRF,Gas Heating,1,2,"TV, Fridge"
1793,Rectangular,East,0.43,12,137.78,Steel,0.34,22,1,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
1794,Rectangular,South,0.5,15,50.71,Wood,0.24,21,1,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
1795,U-Shape,North,0.48,15,166.03,Steel,0.2,20,0,0,Package AC,Heat Pump,1,1,"Oven, Dishwasher"
1796,L-Shape,East,0.36,12,117.58,Steel,0.25,22,0,0,Package AC,Heat Pump,0,1,"TV, Fridge"
1797,Rectangular,South,0.56,15,274.72,Concrete,0.34,21,0,1,VRF,Heat Pump,1,1,"Microwave, Washer"
1798,U-Shape,North,0.6,18,303.2,Concrete,0.25,22,1,0,Split AC,Heat Pump,1,1,"Oven, Dishwasher"
1799,U-Shape,South,0.47,15,90.75,Steel,0.36,22,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
1800,L-Shape,South,0.56,15,251.27,Concrete,0.34,19,0,1,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
1801,Rectangular,West,0.42,15,72.4,Concrete,0.34,20,0,1,Split AC,Gas Heating,1,1,"TV, Fridge"
1802,U-Shape,North,0.5,12,227.8,Steel,0.34,22,0,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
1803,U-Shape,South,0.32,15,210.85,Steel,0.38,19,0,1,Package AC,Heat Pump,1,1,"Oven, Dishwasher"
1804,Rectangular,East,0.38,10,190.09,Wood,0.33,19,0,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
1805,Rectangular,West,0.59,10,275.25,Concrete,0.32,20,0,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
1806,L-Shape,East,0.52,10,348.6,Steel,0.35,22,0,1,Package AC,Gas Heating,1,2,"Microwave, Washer"
1807,L-Shape,North,0.38,18,50.71,Steel,0.34,20,0,0,Split AC,Heat Pump,1,2,"Oven, Dishwasher"
1808,U-Shape,South,0.39,18,122.84,Steel,0.25,21,0,1,Split AC,Heat Pump,1,2,"TV, Fridge"
1809,L-Shape,West,0.44,12,307.69,Steel,0.37,20,0,1,VRF,Heat Pump,1,2,"Oven, Dishwasher"
1810,U-Shape,South,0.53,12,221.7,Steel,0.36,22,0,0,VRF,Heat Pump,0,1,"Microwave, Washer"
1811,Rectangular,East,0.47,10,50.71,Steel,0.27,19,1,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
1812,U-Shape,North,0.55,15,162.35,Steel,0.39,21,0,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
1813,Rectangular,East,0.44,15,134.71,Wood,0.21,19,1,0,Split AC,Heat Pump,0,2,"TV, Fridge"
1814,L-Shape,South,0.51,12,142.74,Steel,0.24,19,1,0,Package AC,Gas Heating,1,0,"Oven, Dishwasher"
1815,L-Shape,West,0.39,12,183.48,Wood,0.25,20,1,0,VRF,Gas Heating,0,1,"Microwave, Washer"
1816,Rectangular,East,0.3,10,125.08,Concrete,0.26,19,1,1,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
1817,L-Shape,South,0.42,15,188.09,Concrete,0.38,22,1,1,Split AC,Heat Pump,1,0,"TV, Fridge"
1818,Rectangular,West,0.49,15,50.71,Steel,0.24,19,0,0,Split AC,Heat Pump,1,2,"TV, Fridge"
1819,L-Shape,South,0.32,18,150.59,Steel,0.35,21,0,1,Package AC,Heat Pump,0,2,"Microwave, Washer"
1820,Rectangular,East,0.6,18,271.14,Wood,0.26,22,0,1,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
1821,L-Shape,South,0.47,10,65.37,Steel,0.3,22,0,0,Package AC,Heat Pump,0,2,"Microwave, Washer"
1822,L-Shape,South,0.57,15,50.71,Wood,0.25,19,0,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
1823,L-Shape,East,0.6,10,337.04,Concrete,0.27,19,0,0,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
1824,L-Shape,North,0.31,15,222.4,Wood,0.2,22,0,0,VRF,Gas Heating,0,1,"Microwave, Washer"
1825,U-Shape,South,0.52,10,348.6,Wood,0.38,21,0,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
1826,L-Shape,East,0.53,12,198.83,Steel,0.25,22,1,0,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
1827,L-Shape,South,0.58,15,105.23,Steel,0.22,22,1,0,Split AC,Heat Pump,0,2,"Microwave, Washer"
1828,L-Shape,West,0.33,10,119.14,Steel,0.29,20,1,1,Split AC,Heat Pump,1,1,"Microwave, Washer"
1829,U-Shape,West,0.41,15,97.12,Wood,0.39,19,1,0,Package AC,Heat Pump,1,2,"TV, Fridge"
1830,L-Shape,East,0.38,10,280.05,Concrete,0.22,19,0,0,Package AC,Gas Heating,1,1,"Microwave, Washer"
1831,U-Shape,West,0.51,15,138.24,Steel,0.23,20,0,0,Split AC,Heat Pump,0,1,"Microwave, Washer"
1832,Rectangular,East,0.5,15,285.41,Concrete,0.35,22,1,0,Package AC,Gas Heating,1,2,"Microwave, Washer"
1833,Rectangular,West,0.4,12,198.07,Steel,0.36,21,1,0,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
1834,Rectangular,East,0.53,15,101.42,Wood,0.21,19,0,0,Package AC,Gas Heating,1,1,"Microwave, Washer"
1835,Rectangular,West,0.42,15,313.94,Wood,0.24,22,0,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
1836,U-Shape,North,0.55,12,248.29,Concrete,0.27,19,0,0,Split AC,Heat Pump,1,1,"Oven, Dishwasher"
1837,L-Shape,South,0.49,18,285.28,Wood,0.4,21,0,1,VRF,Gas Heating,0,2,"TV, Fridge"
1838,Rectangular,North,0.5,15,67.1,Concrete,0.24,22,1,1,Split AC,Gas Heating,0,1,"Microwave, Washer"
1839,Rectangular,East,0.3,15,99.41,Steel,0.27,19,1,0,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
1840,Rectangular,East,0.58,18,291.6,Concrete,0.32,22,0,1,Package AC,Gas Heating,1,0,"Microwave, Washer"
1841,L-Shape,West,0.39,15,303.45,Steel,0.2,19,1,0,VRF,Heat Pump,0,2,"Oven, Dishwasher"
1842,Rectangular,East,0.52,18,117.61,Wood,0.33,20,1,0,Split AC,Gas Heating,1,1,"Microwave, Washer"
1843,Rectangular,East,0.49,10,96.59,Steel,0.22,22,1,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
1844,Rectangular,West,0.57,12,348.6,Steel,0.25,22,1,0,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
1845,Rectangular,North,0.47,10,50.71,Wood,0.32,22,0,0,VRF,Gas Heating,0,1,"Oven, Dishwasher"
1846,Rectangular,South,0.55,18,279.03,Concrete,0.38,22,0,1,Split AC,Heat Pump,0,0,"Microwave, Washer"
1847,Rectangular,West,0.32,10,183.99,Wood,0.36,22,1,0,Package AC,Gas Heating,1,2,"Microwave, Washer"
1848,Rectangular,East,0.42,15,167.69,Wood,0.21,22,1,1,Split AC,Gas Heating,1,0,"Microwave, Washer"
1849,L-Shape,South,0.37,15,319.59,Steel,0.38,19,1,1,VRF,Gas Heating,0,0,"Oven, Dishwasher"
1850,L-Shape,South,0.46,12,50.71,Wood,0.35,22,0,0,VRF,Heat Pump,0,2,"Microwave, Washer"
1851,U-Shape,West,0.51,12,196.98,Steel,0.26,21,0,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
