Building Area(m2),Building_height(m),Building Type,Temperature(degree C),Relative Humidity(%),Solar Radiation(W/m2),Energy Consumption(KW/m2/yr)
460.0,6.0,Single house,20.8,71,21.3,160.0
530.0,6.0,Duplex,23.6,60,26.8,170.0
860.0,9.0,Single house,24.0,84,9.1,260.0
500.0,12.0,Single house,23.6,78,11.1,170.0
470.0,9.0,Apartment,24.3,63,29.1,160.0
540.0,3.0,Single house,22.3,79,11.1,180.0
290.0,9.0,Single house,24.2,95,22.1,110.0
520.0,12.0,Single house,24.7,70,4.5,170.0
450.0,9.0,Single house,26.8,95,19.0,160.0
680.0,9.0,Apartment,22.5,75,16.3,210.0
610.0,6.0,Single house,21.3,81,27.2,200.0
390.0,6.0,Apartment,20.6,80,25.2,140.0
320.0,9.0,Single house,22.8,96,11.9,120.0
740.0,9.0,Single house,18.9,81,26.8,230.0
690.0,9.0,Single house,19.6,65,16.3,210.0
400.0,9.0,Apartment,22.2,63,27.1,140.0
470.0,9.0,Single house,23.4,60,16.3,160.0
510.0,9.0,Single house,24.8,58,13.7,170.0
620.0,15.0,Duplex,24.8,79,5.8,200.0
630.0,6.0,Duplex,21.9,67,2.3,200.0
140.0,6.0,Single house,21.7,78,23.3,70.0
380.0,9.0,Single house,23.2,70,15.5,140.0
460.0,9.0,Duplex,24.6,69,16.3,160.0
470.0,9.0,Single house,23.5,73,4.5,160.0
450.0,6.0,Apartment,24.6,87,21.3,150.0
410.0,12.0,Duplex,24.8,90,26.7,150.0
570.0,9.0,Single house,23.6,83,9.8,190.0
370.0,9.0,Single house,26.1,67,5.5,130.0
560.0,12.0,Single house,28.2,87,5.9,180.0
580.0,9.0,Single house,23.2,87,19.3,190.0
240.0,6.0,Duplex,20.8,82,11.3,100.0
450.0,12.0,Single house,19.8,71,4.1,150.0
420.0,6.0,Apartment,22.4,88,27.2,150.0
470.0,3.0,Single house,22.3,84,5.2,160.0
400.0,9.0,Single house,23.3,40,16.6,140.0
580.0,12.0,Single house,25.1,87,6.1,190.0
620.0,9.0,Single house,23.8,55,11.2,200.0
530.0,12.0,Apartment,22.8,87,3.9,180.0
410.0,9.0,Single house,22.7,77,15.2,140.0
610.0,9.0,Single house,22.6,94,16.3,200.0
580.0,9.0,Townhouse,23.1,78,6.2,190.0
600.0,15.0,Single house,18.2,68,7.2,190.0
540.0,3.0,Apartment,20.8,77,15.1,180.0
480.0,6.0,Apartment,22.4,92,31.7,160.0
530.0,12.0,Single house,22.4,79,3.5,170.0
640.0,12.0,Single house,21.6,77,26.8,200.0
630.0,3.0,Apartment,22.5,88,31.3,200.0
530.0,9.0,Single house,22.1,81,28.2,180.0
400.0,6.0,Single house,22.7,79,24.8,140.0
450.0,9.0,Single house,25.2,96,8.0,160.0
560.0,9.0,Single house,22.2,98,22.8,180.0
620.0,9.0,Single house,23.7,86,11.0,200.0
250.0,9.0,Single house,22.8,75,26.0,100.0
670.0,6.0,Single house,22.9,97,26.0,210.0
620.0,9.0,Single house,22.9,93,17.9,200.0
280.0,9.0,Single house,23.5,88,7.0,110.0
260.0,9.0,Single house,25.7,64,14.8,100.0
320.0,9.0,Single house,23.8,81,28.0,120.0
290.0,6.0,Single house,21.9,70,11.3,110.0
420.0,9.0,Single house,22.5,77,26.9,150.0
470.0,12.0,Single house,21.6,82,11.4,160.0
420.0,9.0,Single house,21.3,80,18.3,150.0
680.0,9.0,Duplex,21.7,73,9.1,210.0
590.0,9.0,Single house,23.2,94,13.8,190.0
810.0,9.0,Single house,23.0,58,30.3,250.0
480.0,6.0,Single house,23.0,88,12.2,160.0
320.0,6.0,Apartment,24.5,56,5.0,120.0
390.0,9.0,Single house,25.6,84,23.8,140.0
660.0,12.0,Single house,26.3,68,16.3,210.0
360.0,9.0,Single house,20.8,90,19.3,130.0
280.0,9.0,Single house,21.5,80,13.2,110.0
420.0,9.0,Townhouse,21.6,82,30.5,150.0
600.0,9.0,Single house,19.1,66,24.2,190.0
450.0,12.0,Single house,22.7,71,12.6,150.0
210.0,9.0,Townhouse,24.2,81,10.8,90.0
630.0,9.0,Single house,24.7,86,16.3,200.0
320.0,9.0,Apartment,26.3,100,24.9,120.0
520.0,9.0,Single house,27.2,82,21.4,170.0
530.0,9.0,Single house,24.9,91,17.8,180.0
570.0,12.0,Apartment,24.5,60,17.3,180.0
380.0,12.0,Single house,24.2,62,12.9,140.0
430.0,9.0,Single house,25.6,74,15.3,150.0
420.0,9.0,Single house,26.4,64,3.4,150.0
440.0,12.0,Single house,26.2,97,28.8,150.0
640.0,12.0,Single house,26.4,74,19.1,200.0
640.0,6.0,Townhouse,17.6,96,6.7,200.0
780.0,9.0,Apartment,19.9,97,25.3,240.0
590.0,9.0,Single house,22.6,79,11.1,190.0
500.0,15.0,Single house,22.1,85,10.8,170.0
610.0,9.0,Single house,23.0,78,4.0,190.0
680.0,9.0,Single house,23.1,85,12.8,210.0
410.0,9.0,Single house,24.2,85,14.4,140.0
740.0,9.0,Apartment,24.8,77,23.5,230.0
380.0,12.0,Duplex,22.6,85,14.9,140.0
540.0,6.0,Townhouse,21.3,100,8.6,180.0
570.0,6.0,Townhouse,25.3,88,15.7,190.0
430.0,9.0,Single house,25.2,83,10.7,150.0
590.0,6.0,Single house,25.2,80,12.6,190.0
290.0,12.0,Single house,23.0,66,18.9,110.0
460.0,9.0,Apartment,23.4,66,11.1,160.0
190.0,12.0,Single house,27.0,83,11.5,90.0
700.0,6.0,Single house,27.1,62,7.9,220.0
480.0,9.0,Single house,25.7,69,19.5,160.0
350.0,6.0,Single house,26.6,95,20.8,130.0
640.0,9.0,Single house,28.0,100,28.5,210.0
420.0,12.0,Apartment,26.7,58,9.9,150.0
710.0,6.0,Single house,25.1,99,25.7,220.0
320.0,9.0,Single house,25.6,76,10.4,120.0
670.0,12.0,Townhouse,26.1,79,24.1,210.0
420.0,9.0,Single house,29.9,77,17.7,150.0
310.0,6.0,Single house,25.6,92,17.2,120.0
610.0,6.0,Duplex,26.6,59,7.2,190.0
450.0,9.0,Apartment,27.6,84,12.2,160.0
530.0,9.0,Townhouse,27.7,67,7.3,170.0
420.0,9.0,Apartment,27.5,86,16.0,150.0
460.0,9.0,Duplex,28.3,98,15.4,160.0
510.0,9.0,Townhouse,27.3,79,16.0,170.0
650.0,9.0,Duplex,27.4,83,11.8,210.0
460.0,9.0,Townhouse,29.5,84,10.9,160.0
500.0,9.0,Duplex,32.0,69,30.9,170.0
460.0,9.0,Single house,29.4,97,10.5,160.0
820.0,9.0,Single house,32.6,100,11.8,250.0
330.0,9.0,Single house,26.6,87,23.8,130.0
410.0,9.0,Duplex,36.3,80,18.4,150.0
460.0,12.0,Single house,26.6,73,25.4,160.0
440.0,9.0,Single house,26.8,71,11.2,150.0
490.0,9.0,Single house,26.4,100,15.2,170.0
470.0,12.0,Single house,28.1,96,9.4,160.0
410.0,6.0,Single house,27.7,78,10.5,140.0
500.0,9.0,Duplex,28.7,59,11.2,170.0
510.0,12.0,Townhouse,30.3,44,11.4,170.0
530.0,6.0,Single house,27.1,65,24.3,170.0
320.0,6.0,Single house,23.1,77,8.6,120.0
630.0,9.0,Single house,22.7,96,27.7,200.0
570.0,9.0,Single house,28.2,71,22.3,190.0
700.0,6.0,Single house,22.8,85,22.2,220.0
530.0,6.0,Townhouse,25.3,95,12.3,180.0
570.0,12.0,Single house,31.4,80,16.3,190.0
360.0,9.0,Townhouse,38.7,77,11.4,130.0
660.0,12.0,Single house,33.4,63,12.4,210.0
480.0,6.0,Single house,28.7,64,9.1,160.0
480.0,9.0,Apartment,28.5,84,15.6,160.0
570.0,12.0,Duplex,29.6,76,4.1,190.0
380.0,9.0,Single house,32.1,80,9.7,140.0
550.0,3.0,Apartment,25.5,78,25.5,180.0
510.0,9.0,Single house,23.1,87,30.7,170.0
810.0,6.0,Single house,25.1,69,9.4,250.0
690.0,12.0,Apartment,26.4,75,19.6,220.0
660.0,9.0,Single house,27.9,100,16.0,210.0
440.0,9.0,Duplex,29.8,69,3.4,150.0
620.0,6.0,Single house,29.0,75,33.6,200.0
240.0,12.0,Apartment,28.6,72,19.6,100.0
510.0,15.0,Single house,28.6,84,18.6,170.0
820.0,12.0,Single house,25.3,91,8.9,250.0
260.0,6.0,Single house,27.8,73,3.9,100.0
660.0,9.0,Single house,28.8,73,13.9,210.0
610.0,9.0,Single house,26.2,75,6.0,200.0
660.0,12.0,Apartment,28.9,85,21.5,210.0
420.0,9.0,Duplex,34.0,70,26.3,150.0
560.0,9.0,Apartment,32.2,74,12.5,180.0
820.0,9.0,Single house,27.8,50,13.4,250.0
570.0,9.0,Duplex,28.8,62,10.7,180.0
600.0,6.0,Apartment,31.1,77,12.8,190.0
570.0,9.0,Single house,29.2,90,16.1,190.0
320.0,15.0,Duplex,28.6,82,5.9,120.0
540.0,6.0,Single house,28.9,65,17.5,180.0
660.0,12.0,Duplex,27.9,62,20.1,210.0
400.0,3.0,Single house,24.6,81,29.3,140.0
450.0,9.0,Single house,23.9,58,29.0,150.0
500.0,9.0,Single house,25.5,92,11.2,170.0
470.0,12.0,Townhouse,26.1,80,21.2,160.0
480.0,9.0,Single house,26.3,59,9.2,160.0
470.0,6.0,Single house,26.1,67,8.6,160.0
430.0,6.0,Single house,27.5,70,3.2,150.0
580.0,9.0,Single house,28.6,69,23.0,190.0
450.0,6.0,Duplex,29.8,60,28.5,150.0
590.0,6.0,Apartment,31.4,68,17.9,190.0
610.0,6.0,Single house,31.4,70,29.4,200.0
510.0,9.0,Apartment,30.4,70,12.0,170.0
490.0,6.0,Single house,28.9,93,7.1,170.0
720.0,6.0,Single house,25.3,80,13.9,220.0
540.0,12.0,Single house,24.6,67,20.1,180.0
390.0,12.0,Townhouse,25.4,75,16.3,140.0
580.0,6.0,Single house,26.7,68,12.9,190.0
740.0,6.0,Single house,26.4,75,28.3,230.0
570.0,12.0,Single house,25.6,90,4.8,190.0
460.0,9.0,Townhouse,26.9,82,10.6,160.0
580.0,9.0,Single house,33.2,100,14.9,190.0
630.0,3.0,Single house,33.3,83,21.8,200.0
510.0,12.0,Single house,31.4,68,16.3,170.0
490.0,9.0,Single house,37.6,89,11.1,170.0
500.0,9.0,Single house,30.3,92,16.9,170.0
250.0,6.0,Duplex,27.6,92,32.2,110.0
480.0,9.0,Single house,29.1,65,5.2,160.0
290.0,9.0,Single house,29.3,77,7.4,110.0
440.0,9.0,Townhouse,29.9,93,14.9,150.0
650.0,9.0,Apartment,35.0,58,13.1,210.0
510.0,9.0,Single house,26.4,73,4.4,170.0
630.0,9.0,Single house,30.0,61,19.5,200.0
640.0,12.0,Apartment,31.3,67,15.8,200.0
400.0,9.0,Single house,30.2,66,17.0,140.0
420.0,9.0,Single house,30.7,94,2.9,150.0
280.0,6.0,Single house,29.1,76,7.7,110.0
560.0,9.0,Apartment,30.1,68,9.4,180.0
510.0,12.0,Single house,30.5,66,26.2,170.0
640.0,9.0,Apartment,28.0,81,17.0,200.0
410.0,6.0,Apartment,27.6,79,6.3,140.0
450.0,6.0,Single house,27.6,95,23.9,160.0
480.0,6.0,Single house,29.5,85,9.2,160.0
550.0,6.0,Duplex,29.9,61,10.5,180.0
330.0,15.0,Apartment,33.1,71,12.9,130.0
750.0,6.0,Single house,31.1,92,2.2,230.0
650.0,9.0,Duplex,32.9,71,6.3,210.0
780.0,12.0,Single house,28.2,100,10.9,240.0
450.0,9.0,Single house,31.8,65,18.6,150.0
660.0,15.0,Single house,28.6,86,32.5,210.0
600.0,9.0,Single house,27.6,68,11.5,190.0
500.0,9.0,Apartment,26.8,72,11.0,170.0
520.0,9.0,Single house,28.1,92,6.5,170.0
530.0,9.0,Duplex,28.3,77,27.5,180.0
430.0,9.0,Townhouse,28.9,89,12.3,150.0
710.0,9.0,Single house,31.2,85,12.1,220.0
580.0,9.0,Townhouse,32.5,88,18.8,190.0
470.0,9.0,Duplex,35.3,68,13.3,160.0
580.0,12.0,Apartment,31.7,76,8.4,190.0
630.0,9.0,Apartment,28.3,84,2.6,200.0
690.0,12.0,Apartment,28.9,68,11.8,220.0
850.0,9.0,Single house,31.3,99,6.3,260.0
470.0,6.0,Single house,32.4,69,13.2,160.0
480.0,6.0,Apartment,31.3,75,33.0,160.0
700.0,9.0,Duplex,31.4,66,15.0,220.0
110.0,6.0,Apartment,29.6,52,10.4,60.0
430.0,9.0,Single house,26.1,100,6.1,150.0
550.0,12.0,Single house,27.0,76,9.3,180.0
550.0,12.0,Single house,27.9,73,15.3,180.0
650.0,6.0,Single house,32.9,76,27.8,210.0
470.0,12.0,Single house,31.6,96,12.4,160.0
210.0,12.0,Single house,32.2,67,14.6,90.0
760.0,6.0,Single house,29.5,87,20.1,240.0
600.0,9.0,Single house,29.9,74,13.6,190.0
640.0,9.0,Townhouse,30.8,71,10.6,200.0
470.0,9.0,Single house,30.0,86,29.7,160.0
610.0,6.0,Single house,30.8,91,13.1,200.0
510.0,12.0,Duplex,34.8,72,3.3,170.0
280.0,9.0,Single house,33.2,69,18.0,110.0
380.0,9.0,Apartment,32.1,64,3.8,140.0
380.0,9.0,Apartment,32.5,92,16.3,140.0
440.0,9.0,Apartment,32.2,72,20.6,150.0
420.0,9.0,Single house,28.9,56,27.6,150.0
220.0,9.0,Single house,28.9,96,24.3,100.0
610.0,9.0,Duplex,29.5,62,16.2,200.0
450.0,9.0,Single house,30.0,88,16.3,160.0
390.0,9.0,Apartment,29.0,81,25.9,140.0
290.0,9.0,Single house,29.4,82,11.5,110.0
450.0,9.0,Single house,31.6,72,2.4,150.0
450.0,9.0,Single house,30.5,83,17.0,160.0
430.0,6.0,Single house,30.2,58,18.3,150.0
690.0,9.0,Single house,30.7,86,16.3,220.0
50.0,6.0,Single house,30.3,98,17.7,50.0
490.0,9.0,Single house,31.3,90,16.3,170.0
510.0,9.0,Apartment,31.2,54,1.6,170.0
570.0,12.0,Apartment,30.9,67,18.5,190.0
400.0,9.0,Apartment,30.5,76,17.6,140.0
330.0,9.0,Apartment,31.0,85,16.2,130.0
420.0,12.0,Townhouse,31.2,77,29.4,150.0
200.0,12.0,Duplex,31.1,73,12.2,90.0
390.0,12.0,Single house,29.9,86,14.9,140.0
760.0,9.0,Single house,29.8,93,3.6,240.0
480.0,6.0,Single house,29.9,76,10.2,160.0
220.0,9.0,Single house,29.2,88,7.0,100.0
560.0,9.0,Apartment,30.3,47,17.3,180.0
340.0,12.0,Single house,31.7,67,29.8,130.0
570.0,9.0,Single house,30.5,75,12.8,190.0
750.0,12.0,Duplex,29.0,73,7.8,230.0
570.0,9.0,Single house,28.6,83,21.7,190.0
530.0,6.0,Single house,29.4,91,15.6,180.0
600.0,12.0,Single house,32.0,85,16.3,200.0
630.0,12.0,Single house,30.2,71,26.9,200.0
540.0,12.0,Single house,30.2,60,16.3,180.0
1000.0,9.0,Apartment,29.9,86,8.1,300.0
490.0,9.0,Single house,29.3,56,21.7,160.0
430.0,9.0,Single house,30.2,87,21.6,150.0
860.0,9.0,Single house,30.1,76,23.0,260.0
320.0,6.0,Single house,28.2,64,30.6,120.0
460.0,12.0,Single house,26.3,82,10.3,160.0
350.0,9.0,Apartment,29.1,79,16.5,130.0
250.0,9.0,Duplex,29.2,78,9.9,100.0
700.0,9.0,Single house,29.6,78,20.5,220.0
630.0,9.0,Single house,28.1,84,6.1,200.0
600.0,12.0,Apartment,32.3,90,19.1,200.0
500.0,9.0,Single house,28.7,85,17.2,170.0
300.0,9.0,Duplex,28.6,91,8.4,120.0
640.0,6.0,Single house,28.0,78,13.4,200.0
300.0,9.0,Townhouse,28.4,99,14.7,120.0
240.0,6.0,Duplex,31.3,86,20.2,100.0
280.0,9.0,Duplex,28.2,72,24.3,110.0
550.0,6.0,Single house,25.6,65,12.7,180.0
600.0,9.0,Single house,25.7,81,24.4,190.0
470.0,9.0,Townhouse,27.8,63,19.6,160.0
590.0,9.0,Duplex,27.8,67,0.4,190.0
570.0,12.0,Single house,28.9,82,17.6,190.0
360.0,9.0,Single house,31.1,71,30.1,130.0
630.0,9.0,Single house,26.7,67,10.4,200.0
450.0,6.0,Single house,29.0,78,17.6,160.0
530.0,12.0,Single house,28.7,80,28.4,180.0
560.0,9.0,Townhouse,26.5,76,20.6,180.0
410.0,12.0,Single house,27.7,74,11.2,140.0
660.0,12.0,Single house,28.1,89,8.8,210.0
360.0,9.0,Duplex,27.4,83,16.3,130.0
650.0,9.0,Single house,27.3,76,11.9,210.0
390.0,9.0,Single house,26.5,100,30.3,140.0
510.0,12.0,Single house,27.7,81,5.3,170.0
740.0,6.0,Single house,28.1,93,21.5,230.0
220.0,6.0,Single house,28.8,72,3.9,90.0
420.0,9.0,Single house,28.3,62,11.7,150.0
280.0,9.0,Single house,28.7,69,8.5,110.0
480.0,6.0,Apartment,30.0,75,21.8,160.0
190.0,9.0,Single house,29.1,73,26.4,90.0
620.0,6.0,Single house,27.0,95,9.3,200.0
360.0,9.0,Single house,25.4,77,15.1,130.0
610.0,9.0,Single house,27.1,84,18.1,200.0
790.0,9.0,Single house,26.9,78,12.7,240.0
400.0,9.0,Single house,27.4,73,6.2,140.0
610.0,6.0,Single house,26.5,79,26.2,200.0
610.0,12.0,Single house,25.9,100,11.0,200.0
420.0,6.0,Single house,25.7,69,11.0,150.0
430.0,12.0,Single house,26.8,88,16.6,150.0
780.0,12.0,Single house,28.9,66,6.5,240.0
610.0,9.0,Single house,27.7,73,5.3,200.0
710.0,6.0,Single house,24.6,79,30.7,220.0
530.0,9.0,Single house,25.4,83,30.8,180.0
840.0,6.0,Apartment,25.4,97,33.6,260.0
490.0,9.0,Single house,23.2,78,9.3,160.0
530.0,9.0,Apartment,26.3,68,7.6,170.0
780.0,9.0,Single house,26.3,87,6.5,240.0
460.0,6.0,Single house,23.3,74,20.9,160.0
320.0,9.0,Duplex,24.7,82,28.8,120.0
520.0,6.0,Single house,24.8,77,14.5,170.0
740.0,12.0,Single house,21.3,55,8.0,230.0
620.0,6.0,Single house,21.3,85,12.2,200.0
360.0,9.0,Single house,26.1,86,10.2,130.0
190.0,9.0,Townhouse,27.1,90,14.4,90.0
420.0,6.0,Single house,25.8,100,3.5,150.0
590.0,9.0,Single house,25.2,64,10.1,190.0
550.0,15.0,Duplex,24.8,85,19.7,180.0
550.0,9.0,Single house,24.4,84,21.7,180.0
510.0,9.0,Single house,23.5,74,32.7,170.0
730.0,12.0,Single house,22.7,84,27.8,230.0
420.0,9.0,Single house,24.7,85,8.5,150.0
230.0,9.0,Single house,24.7,64,3.2,100.0
310.0,12.0,Townhouse,24.7,82,13.9,120.0
740.0,6.0,Apartment,24.7,67,30.0,230.0
310.0,6.0,Townhouse,26.4,71,7.4,120.0
400.0,6.0,Apartment,25.1,57,23.0,140.0
340.0,9.0,Townhouse,24.2,73,13.7,130.0
640.0,6.0,Duplex,23.8,76,33.2,200.0
580.0,9.0,Single house,24.7,86,10.6,190.0
630.0,12.0,Apartment,24.4,79,30.5,200.0
160.0,9.0,Duplex,26.5,60,16.0,80.0
510.0,9.0,Single house,23.3,89,30.6,170.0
450.0,9.0,Single house,20.9,77,23.2,150.0
450.0,9.0,Single house,23.6,85,2.9,150.0
610.0,9.0,Single house,24.1,91,6.6,200.0
400.0,6.0,Single house,23.8,96,12.7,140.0
650.0,9.0,Single house,24.1,100,16.3,210.0
490.0,6.0,Apartment,24.1,78,15.7,160.0
660.0,9.0,Single house,23.9,83,15.9,210.0
600.0,12.0,Apartment,24.2,65,8.5,190.0
480.0,12.0,Single house,22.6,92,13.0,160.0
210.0,9.0,Single house,25.1,64,28.1,90.0
330.0,6.0,Apartment,25.4,57,9.2,120.0
610.0,9.0,Apartment,26.0,89,17.0,200.0
190.0,9.0,Single house,26.3,72,10.5,90.0
580.0,9.0,Single house,18.3,88,6.9,190.0
320.0,12.0,Duplex,21.7,84,27.7,120.0
480.0,6.0,Single house,21.2,59,11.1,160.0
400.0,9.0,Single house,19.8,45,19.8,140.0
560.0,12.0,Apartment,17.6,65,10.2,180.0
450.0,9.0,Apartment,18.7,79,6.2,150.0
560.0,6.0,Single house,20.3,64,22.0,180.0
540.0,9.0,Single house,19.8,71,9.5,180.0
270.0,9.0,Single house,17.0,61,3.0,100.0
390.0,9.0,Apartment,19.6,81,16.3,140.0
820.0,6.0,Single house,20.7,80,15.2,250.0
500.0,9.0,Duplex,22.1,73,26.3,170.0
570.0,12.0,Single house,18.5,96,14.5,190.0
590.0,9.0,Single house,21.1,97,7.3,190.0
680.0,9.0,Duplex,21.5,86,28.8,210.0
270.0,9.0,Duplex,23.1,57,14.0,110.0
350.0,6.0,Single house,23.0,65,18.5,130.0
410.0,9.0,Single house,25.2,84,26.1,150.0
560.0,9.0,Duplex,20.3,71,10.2,180.0
530.0,9.0,Single house,22.5,73,18.8,170.0
630.0,9.0,Single house,22.1,90,22.3,200.0
520.0,9.0,Duplex,22.9,85,20.2,170.0
790.0,6.0,Single house,23.5,95,31.7,240.0
580.0,9.0,Single house,22.9,73,17.9,190.0
660.0,6.0,Single house,24.8,96,17.2,210.0
420.0,9.0,Duplex,17.7,72,28.0,150.0
680.0,12.0,Apartment,22.5,97,10.5,210.0
840.0,9.0,Single house,20.2,80,16.2,250.0
690.0,12.0,Single house,22.6,68,9.4,220.0
490.0,6.0,Single house,22.6,59,25.0,160.0
520.0,9.0,Apartment,21.8,75,30.1,170.0
280.0,6.0,Single house,20.6,76,12.1,110.0
550.0,9.0,Single house,21.2,89,27.8,180.0
720.0,9.0,Single house,21.5,77,10.9,220.0
570.0,9.0,Single house,21.1,73,17.0,180.0
560.0,6.0,Townhouse,20.1,92,26.7,180.0
370.0,12.0,Single house,20.9,76,7.1,130.0
310.0,9.0,Single house,19.8,72,5.9,120.0
570.0,6.0,Duplex,21.7,86,10.2,190.0
390.0,9.0,Single house,21.4,73,8.8,140.0
620.0,6.0,Duplex,23.8,87,14.9,200.0
510.0,9.0,Single house,25.2,71,12.4,170.0
730.0,9.0,Duplex,24.1,76,9.8,230.0
380.0,6.0,Single house,23.5,81,26.3,140.0
680.0,9.0,Single house,25.3,74,24.8,210.0
460.0,12.0,Single house,24.2,79,27.8,160.0
780.0,9.0,Single house,24.6,89,11.1,240.0
780.0,9.0,Single house,23.7,84,16.3,240.0
860.0,15.0,Single house,22.5,85,11.1,260.0
930.0,9.0,Single house,23.5,71,25.1,280.0
520.0,6.0,Single house,24.2,89,15.6,170.0
420.0,12.0,Single house,20.8,87,32.2,150.0
540.0,9.0,Single house,22.2,91,18.1,180.0
580.0,9.0,Apartment,23.7,70,11.7,190.0
670.0,9.0,Single house,23.8,77,16.3,210.0
640.0,6.0,Apartment,23.1,87,12.6,200.0
620.0,3.0,Duplex,24.9,71,27.6,200.0
500.0,12.0,Single house,24.1,76,29.0,170.0
530.0,9.0,Apartment,13.5,100,11.1,170.0
600.0,6.0,Single house,18.6,100,22.4,190.0
530.0,9.0,Duplex,22.1,94,23.9,180.0
430.0,9.0,Apartment,23.0,90,16.3,150.0
560.0,9.0,Single house,25.7,66,9.9,180.0
780.0,9.0,Single house,22.8,85,8.7,240.0
450.0,9.0,Apartment,22.9,74,11.8,150.0
470.0,6.0,Townhouse,22.9,66,27.9,160.0
680.0,6.0,Single house,26.2,73,16.3,210.0
700.0,6.0,Single house,24.1,80,27.5,220.0
620.0,12.0,Single house,24.9,72,10.9,200.0
590.0,9.0,Townhouse,22.7,72,6.7,190.0
510.0,15.0,Duplex,23.8,89,16.3,170.0
490.0,9.0,Duplex,23.7,81,12.6,170.0
330.0,9.0,Duplex,23.8,82,13.2,120.0
430.0,9.0,Single house,22.2,80,23.1,150.0
350.0,6.0,Single house,22.4,70,18.2,130.0
680.0,12.0,Single house,23.2,62,4.7,210.0
530.0,9.0,Apartment,22.3,83,30.7,180.0
670.0,9.0,Single house,24.6,73,17.8,210.0
380.0,12.0,Single house,25.8,54,10.2,130.0
670.0,9.0,Apartment,25.1,74,18.0,210.0
350.0,9.0,Single house,25.4,65,33.6,130.0
740.0,9.0,Single house,25.6,87,13.6,230.0
640.0,6.0,Townhouse,23.8,85,30.0,200.0
350.0,9.0,Single house,22.6,85,10.3,130.0
660.0,12.0,Single house,23.1,71,13.1,210.0
370.0,12.0,Single house,22.0,88,14.5,130.0
480.0,9.0,Duplex,23.7,83,14.8,160.0
640.0,9.0,Single house,24.6,74,5.6,200.0
570.0,6.0,Apartment,25.8,73,18.7,180.0
490.0,12.0,Single house,23.9,90,10.8,170.0
370.0,9.0,Single house,24.6,73,16.8,130.0
680.0,6.0,Single house,25.3,83,19.4,210.0
780.0,9.0,Single house,27.2,92,15.1,240.0
490.0,9.0,Single house,28.2,100,16.1,170.0
410.0,12.0,Apartment,21.1,99,29.6,150.0
540.0,6.0,Single house,26.1,90,29.7,180.0
450.0,9.0,Single house,24.1,60,20.2,150.0
710.0,9.0,Single house,29.2,70,11.8,220.0
770.0,9.0,Single house,24.7,72,4.4,240.0
430.0,15.0,Single house,24.2,99,25.8,150.0
370.0,9.0,Duplex,25.2,70,15.0,130.0
160.0,9.0,Single house,26.7,84,23.4,80.0
750.0,9.0,Single house,26.8,80,21.7,230.0
340.0,6.0,Apartment,27.2,67,17.9,130.0
680.0,9.0,Apartment,27.4,83,21.1,210.0
490.0,9.0,Duplex,26.5,84,9.4,170.0
870.0,9.0,Single house,29.3,63,11.2,260.0
830.0,9.0,Single house,28.4,94,18.6,250.0
580.0,12.0,Single house,29.6,53,11.4,190.0
540.0,9.0,Single house,27.6,71,18.5,180.0
550.0,12.0,Single house,31.1,91,7.8,180.0
470.0,6.0,Apartment,30.5,64,21.0,160.0
640.0,9.0,Single house,27.8,83,16.3,200.0
580.0,9.0,Apartment,33.2,63,13.2,190.0
480.0,9.0,Single house,36.3,78,10.1,160.0
560.0,9.0,Single house,30.4,50,19.1,180.0
630.0,3.0,Single house,30.0,68,21.8,200.0
440.0,9.0,Single house,26.9,60,15.5,150.0
390.0,6.0,Single house,27.9,74,16.3,140.0
400.0,9.0,Single house,30.8,74,14.3,140.0
490.0,6.0,Single house,27.7,70,8.7,160.0
660.0,6.0,Single house,26.5,89,0.7,210.0
600.0,9.0,Townhouse,27.3,68,9.1,190.0
560.0,12.0,Single house,20.7,87,34.0,180.0
390.0,9.0,Single house,23.9,99,9.6,140.0
410.0,6.0,Single house,25.1,80,25.4,140.0
780.0,6.0,Single house,27.1,68,14.3,240.0
780.0,9.0,Single house,22.0,63,12.8,240.0
530.0,9.0,Apartment,25.1,70,23.4,170.0
620.0,9.0,Apartment,32.1,87,14.8,200.0
690.0,6.0,Single house,30.8,81,25.0,220.0
420.0,6.0,Duplex,28.6,90,11.0,150.0
410.0,9.0,Townhouse,29.0,88,16.3,150.0
710.0,12.0,Single house,28.2,81,13.9,220.0
550.0,6.0,Single house,29.3,85,17.6,180.0
640.0,9.0,Single house,27.9,100,21.8,210.0
340.0,9.0,Single house,28.2,96,16.6,130.0
880.0,9.0,Single house,28.6,75,10.1,270.0
630.0,12.0,Single house,28.2,91,17.7,200.0
510.0,9.0,Single house,27.2,86,8.5,170.0
250.0,9.0,Single house,27.0,93,33.0,110.0
610.0,12.0,Single house,27.3,87,21.9,200.0
570.0,9.0,Apartment,26.4,67,21.3,180.0
780.0,6.0,Duplex,27.4,59,20.0,240.0
410.0,9.0,Apartment,28.5,86,11.0,150.0
430.0,12.0,Duplex,28.3,100,9.1,150.0
690.0,9.0,Single house,29.1,69,26.5,220.0
750.0,9.0,Single house,28.3,76,32.7,230.0
530.0,12.0,Single house,29.0,66,18.7,180.0
450.0,9.0,Apartment,33.1,93,16.8,160.0
670.0,6.0,Duplex,27.8,50,20.6,210.0
470.0,12.0,Single house,28.4,51,16.9,160.0
480.0,12.0,Apartment,28.1,83,11.2,160.0
270.0,9.0,Single house,27.9,78,11.6,110.0
